Date,Location,Operator,Type,Aboard,Fatalities,Ground,Operator_Category,Month,Year
2004-09-11,"Off Mount Athos, Greece",Military - Greek Army,CH-47D Chinook,17.0,17.0,0.0,military,9,2004
2004-09-29,"Tortuguero lagoon, Puerto Rico",Air Flamence,Pilatus-Britten Norman BN-2A-27 Islander,1.0,1.0,0.0,commercial,9,2004
2004-10-05,"Kaduqli, Sudan",Sarit Airlines,Antonov AN-12,4.0,4.0,0.0,commercial,10,2004
2004-11-22,"Houston, Texas",Business Jet Services,Grumman Gulfstream G3,3.0,3.0,0.0,other,11,2004
2004-11-27,"Near Bagram, Afghanstan",Presidental Airways Inc. - Air Taxi,CASA 212-CC,6.0,6.0,0.0,commercial,11,2004
2004-10-14,"Jefferson City, Missouri",Pinnacle Airlines/Northwest Airlink,Canadair CRJ200LR RegionalJet,2.0,2.0,0.0,commercial,10,2004
2004-10-14,"Halifax, Nova Scotia, Canada",MK Airlines,Boeing 747-244B-SF,7.0,7.0,0.0,commercial,10,2004
2004-10-15,"Near Medellin, Colombia",Aerovanguardia,Douglas DC-3C,3.0,3.0,0.0,other,10,2004
2004-10-16,"Coron Island, Philippines",PacifiAir,Pilatus Britten-Norman BN-2A-21 Islander,2.0,2.0,0.0,other,10,2004
2004-10-19,"Near Kirksville, Missouri",Corporate Airlines (American Connection),Bae Jetstream 3201,15.0,13.0,0.0,commercial,10,2004
2004-10-24,"San Diego, California",Med Flight Air Ambulance - Private,Learjet 35A,5.0,5.0,0.0,commercial,10,2004
2004-11-18,"Caracas, Venezuela",Venezolana,BAe 3101 Jetstream 31,21.0,3.0,0.0,other,11,2004
2004-11-21,"Baotou, Inner Mongolia, China",China Eastern Airlines,Bambardier CRJ200,53.0,53.0,0.0,commercial,11,2004
2004-11-28,"Montrose, Colorado",Glow Air/Air Castle - Charter,Canadair CL-601-2A12 Challenger,6.0,3.0,0.0,commercial,11,2004
2004-11-30,"Solo, Indonesia",Lion Air,McDonnell-Douglas MD-82,154.0,26.0,0.0,commercial,11,2004
2004-11-30,"Saint Louis, Missouri",Grand Aire,HBB HFB-320 Hansa Jet,2.0,2.0,0.0,other,11,2004
2004-12-06,"Bellevue, Idaho",Salmon Air - Air Taxi,Cesna 208 Caravan,2.0,2.0,0.0,commercial,12,2004
2004-12-07,"Near La Macarena, Colombia",SAVIARE S.A. - Air Taxi,Cessna TU206G,6.0,6.0,0.0,commercial,12,2004
2004-12-10,"El Junquito, Venezuela",Guardia Nacional de Venezuela,PZL-MieleM28,16.0,16.0,0.0,other,12,2004
2004-12-11,"Uberaba, Brazil",NHR Táxi-Aéreo,Embraer EMB-110 Bandeirante,2.0,2.0,1.0,other,12,2004
2004-12-11,"Near Jeddah, Saudi Arabia",Airline Transport,Ilyushin II-76TD,7.0,1.0,0.0,commercial,12,2004
2005-01-13,"Manguipayan, Colombia",Military - Colombian government,Black Hawk helicopter,20.0,20.0,0.0,military,1,2005
2005-01-13,"Tura,Siberia, Russia",Tura Air Enterprise,Antonov AN-2,9.0,9.0,0.0,commercial,1,2005
2005-01-26,"Rutbah, Iraq",Military - U.S. Marines,CH53E Sea Stallion,31.0,31.0,0.0,military,1,2005
2005-01-30,"Near Al Taji, Iraq",Military - Royal Air Force,Lockheed Hercules C.1,10.0,10.0,0.0,military,1,2005
2005-02-03,"Near Peshawar, Pakistan",Kam Air,Boeing B-737-200,104.0,104.0,0.0,commercial,2,2005
2005-02-03,"Near Khartoum, Sudan",Air West,Ilyushin 76TD,7.0,7.0,0.0,commercial,2,2005
2005-02-10,"Lebec, California",Action Air Express Inc. - Air Taxi,Cessna P210N,2.0,2.0,0.0,commercial,2,2005
2005-02-16,"Near Pueblo, Colorado",Circuit City Stores - Charter,Cessna 560 Citation V,8.0,8.0,0.0,other,2,2005
2005-02-22,"Bimin, Papua, New Guinea",Missionary Aviation Fellowship,de Havilland DHC-6 Twin Otter 300,13.0,2.0,0.0,other,2,2005
2005-03-08,"Chrallave, Venezuela",Air Global,Cessna 500 Citation I,2.0,2.0,0.0,commercial,3,2005
